_id,Site,Province,Region,SNRT_RS,Latitude,Longitude,Altitude,Category,TNT,FM,ConfigUser,CreationDate,Photo,control,Code,Fixe,Gsm,files,AM,Administration,FH,ST
287,El Mehbes 2 AM,Assa-Zag,Zone Militaire,,27.68637,8.8715,474,A,false,false,h.zagrari,2025-01-08T11:33:24.929Z,,false,,,,,false,false,false,false
288,Adrar Azougar,Tata,Zone Militaire,,29.05942,-8.53932,861,A,false,false,h.zagrari,2025-01-08T11:34:45.108Z,,false,,,,,false,false,false,false
290,Ain ben mathar relais,Jerada,L'Oriental,,34.025562,-2.014633,0,A,false,false,h.zagrari,2025-01-12T14:21:59.433Z,,false,,,,,false,false,true,false
291,Tandrara relais,Figuig,L'Oriental,,33.063381,-2.022449,0,A,false,false,h.zagrari,2025-01-15T14:12:27.113Z,,false,,,,,false,false,true,false
292,Batma relais,Figuig,L'Oriental,,32.456421,-1.680596,0,A,false,false,h.zagrari,2025-01-12T14:18:34.150Z,,false,,,,,false,false,true,false
293,Jaafri relais,Figuig,L'Oriental,,32.217783,-1.720501,0,A,false,false,h.zagrari,2025-01-12T14:18:59.009Z,,false,,,,,false,false,true,false
294,Fouchel,Jerada,L'Oriental,,33.763168,-1.99329,0,A,false,false,h.zagrari,2025-01-12T14:19:19.815Z,,false,,,,,false,false,true,false
295,M'ssici,Tinghire,Darâa-Tafilalet,,31.225139,-4.837817,868,A,false,false,h.zagrari,2025-01-09T08:33:36.913Z,,false,,,,,false,false,false,false
296,Karrandou,Errachidia,Darâa-Tafilalet,,32.253838,-4.395687,1352,A,false,false,h.zagrari,2025-01-09T08:35:15.038Z,,false,,,,,false,false,false,false
297,Bir gandouz,Dakhla,Zone Militaire,,21.600609,-16.464819,0,A,false,false,h.zagrari,2025-01-09T09:57:01.570Z,,false,,,,,false,false,false,false
298,Beggari,Dakhla,Zone Militaire,,23.707362788347247,-14.067633918311532,0,A,false,false,h.zagrari,2025-01-09T09:58:51.883Z,,false,,,,,false,false,false,false
299,Tichla,Aousred,Zone Militaire,,21.58232284345911,-14.971834007069667,0,A,false,false,h.zagrari,2025-01-09T10:03:38.280Z,,false,,,,,false,false,false,false
300,Oum driga,Aousred,Zone Militaire,,24.112274395120714,-13.26957651397811,0,A,false,false,h.zagrari,2025-01-09T10:04:29.316Z,,false,,,,,false,false,false,false
301,Jdiria,Smara,Zone Militaire,,27.246715,-10.416849,0,A,false,false,h.zagrari,2025-01-09T10:05:07.375Z,,false,,,,,false,false,false,false
302,Gueltet zemmour,Smara,Zone Militaire,,25.14887,-12.368749,0,A,false,false,h.zagrari,2025-01-09T10:05:56.556Z,,false,,,,,false,false,false,false
303,Amgala,Smara,Zone Militaire,,26.287637,-11.140308,0,A,false,false,h.zagrari,2025-01-09T10:06:33.288Z,,false,,,,,false,false,false,false
304,Tarfaya Municipalité,Tarfaya,-,,0,0,0,A,false,false,h.zagrari,2025-01-31T14:19:04.308Z,,false,,,,,false,false,false,false
305,Hansala,-,-,,0,0,0,A,false,false,h.zagrari,2025-01-31T14:09:58.680Z,,false,,,,,false,false,false,false
306,Had gharbia,Tanger,Tanger-Tétouan-Al Hoceima,,35.51658,-5.93054,93,A,false,false,l.elbouti,2025-04-22T10:05:14.584Z,,false,,,,,false,false,false,false
307,AM Roches Noires,Casablanca,Grand Casablanca-Settat,,33.5353,-7.5824,18,A,false,false,l.elbouti,2025-04-22T12:38:23.669Z,,true,,,,,false,false,false,false
308,sidi ahmed ben rahal,Sidi Bennour,Grand Casablanca-Settat,,0,0,0,P,false,false,l.elbouti,2025-04-22T12:29:56.730Z,,false,,,,,false,false,false,false
309,Anounfeg,Agadir,Sous-Massa,,30.45912,-9.56993,390,A,false,false,l.elbouti,2025-05-16T10:54:57.316Z,,false,4446,,0660130381,,false,false,false,false
310,Taroudant,Agadir,Sous-Massa,,30.47573,-8.869906,242,P,false,true,l.elbouti,2025-06-24T13:45:18.841Z,,false,4446,,0660130381,,false,false,false,false
311,Reg RABAT,Rabat,Rabat-Salé-Kénitra,,0,0,0,P,false,false,l.elbouti,2025-07-23T10:59:14.761Z,,false,,,,,false,true,false,false
